"dm, P, ""N(d), s(d)"""
"14,6,""{-2 + d + 2*d^2, -2 + 2*d}"""
"14,6,""{-1 + d + 2*d^2, 2 + 2*d}"""
"14,6,""{d + 2*d^2, 2*d}"""
"14,6,""{d + 2*d^2, 2 + 2*d}"""
"14,6,""{d + 2*d^2, 2 + 6*d}"""
"14,6,""{d + 2*d^2, 4 + 6*d}"""
"14,6,""{1 + d + 2*d^2, 2*d}"""
"14,6,""{1/3 + (4*d)/3 + 2*d^2, 3 + 6*d}"""
"14,6,""{-1 + (3*d)/2 + 2*d^2, -2 + 4*d}"""
"14,6,""{(3*d)/2 + 2*d^2, 4*d}"""
"14,6,""{-1/3 + (5*d)/3 + 2*d^2, 6 + 6*d}"""
"14,6,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"14,6,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"14,6,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"15,6,""{2*d^2, -1 + 2*d}"""
"15,6,""{2*d^2, 1 + 2*d}"""
"15,6,""{2*d^2, -1 + 4*d}"""
"15,6,""{2*d^2, 1 + 4*d}"""
"15,6,""{2*d^2, -1 + 8*d}"""
"15,6,""{2*d^2, 1 + 8*d}"""
"15,6,""{-3 + 2*d^2, 3 + 2*d}"""
"15,6,""{-1 + 2*d^2, -1 + 2*d}"""
"15,6,""{-1 + 2*d^2, 1 + 2*d}"""
"15,6,""{1 + 2*d^2, -1 + 2*d}"""
"15,6,""{1 + 2*d^2, 1 + 2*d}"""
"15,6,""{(-5*d)/3 + 2*d^2, 6*d}"""
"15,6,""{-1/2 - (3*d)/2 + 2*d^2, -4 + 4*d}"""
"15,6,""{1/2 - (3*d)/2 + 2*d^2, -2 + 4*d}"""
"15,6,""{-1 - (4*d)/3 + 2*d^2, 3 + 6*d}"""
"15,6,""{-2 - d + 2*d^2, 2 + 2*d}"""
"15,6,""{-1 - d + 2*d^2, -2 + 2*d}"""
"15,6,""{-d + 2*d^2, 2*d}"""
"15,6,""{-d + 2*d^2, -2 + 2*d}"""
"15,6,""{-d + 2*d^2, -3 + 4*d}"""
"15,6,""{-d + 2*d^2, -1 + 4*d}"""
"15,6,""{-d + 2*d^2, -5 + 8*d}"""
"15,6,""{-d + 2*d^2, -3 + 8*d}"""
"15,6,""{1 - d + 2*d^2, 2*d}"""
"15,6,""{-1 - (2*d)/3 + 2*d^2, 3 + 6*d}"""
"15,6,""{-1/2 - d/2 + 2*d^2, -2 + 4*d}"""
"15,6,""{1/2 - d/2 + 2*d^2, 4*d}"""
"15,6,""{-3 - d/3 + 2*d^2, -8 + 6*d}"""
"15,6,""{-2 - d/3 + 2*d^2, 6 + 6*d}"""
"15,6,""{-1 - d/3 + 2*d^2, 4 + 6*d}"""
"15,6,""{-2 + d/3 + 2*d^2, -6 + 6*d}"""
"15,6,""{-1 + d/3 + 2*d^2, -4 + 6*d}"""
"15,6,""{-1/2 + d/2 + 2*d^2, 2 + 4*d}"""
"15,6,""{1/2 + d/2 + 2*d^2, 4*d}"""
"15,6,""{-1 + (2*d)/3 + 2*d^2, -3 + 6*d}"""
"15,6,""{-5 + d + 2*d^2, 4 + 2*d}"""
"15,6,""{-3 + d + 2*d^2, -2 + 2*d}"""
"15,6,""{-2 + d + 2*d^2, -2 + 2*d}"""
"15,6,""{-1 + d + 2*d^2, 2 + 2*d}"""
"15,6,""{d + 2*d^2, 2*d}"""
"15,6,""{d + 2*d^2, 2 + 2*d}"""
"15,6,""{d + 2*d^2, 1 + 4*d}"""
"15,6,""{d + 2*d^2, 3 + 4*d}"""
"15,6,""{d + 2*d^2, 3 + 8*d}"""
"15,6,""{1 + d + 2*d^2, 2*d}"""
"15,6,""{-1 + (4*d)/3 + 2*d^2, -3 + 6*d}"""
"15,6,""{-1/2 + (3*d)/2 + 2*d^2, 4 + 4*d}"""
"15,6,""{1/2 + (3*d)/2 + 2*d^2, 2 + 4*d}"""
"15,6,""{(5*d)/3 + 2*d^2, 6*d}"""
"15,6,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"15,6,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"15,6,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"16,6,""{2*d^2, -1 + 2*d}"""
"16,6,""{2*d^2, 1 + 2*d}"""
"16,6,""{2*d^2, -1 + 6*d}"""
"16,6,""{2*d^2, 1 + 6*d}"""
"16,6,""{2*d^2, -1 + 10*d}"""
"16,6,""{2*d^2, 1 + 10*d}"""
"16,6,""{-3 + 2*d^2, 3 + 2*d}"""
"16,6,""{-3 + 2*d^2, -5 + 4*d}"""
"16,6,""{-3 + 2*d^2, 5 + 4*d}"""
"16,6,""{-1 + 2*d^2, -1 + 2*d}"""
"16,6,""{-1 + 2*d^2, 1 + 2*d}"""
"16,6,""{-1 + 2*d^2, -3 + 4*d}"""
"16,6,""{-1 + 2*d^2, 3 + 4*d}"""
"16,6,""{1 + 2*d^2, -1 + 2*d}"""
"16,6,""{1 + 2*d^2, 1 + 2*d}"""
"16,6,""{-1/3 - (5*d)/3 + 2*d^2, -6 + 6*d}"""
"16,6,""{-1 - (3*d)/2 + 2*d^2, 2 + 4*d}"""
"16,6,""{(-3*d)/2 + 2*d^2, 4*d}"""
"16,6,""{1/3 - (4*d)/3 + 2*d^2, -3 + 6*d}"""
"16,6,""{-2 - d + 2*d^2, 2 + 2*d}"""
"16,6,""{-1 - d + 2*d^2, -2 + 2*d}"""
"16,6,""{-d + 2*d^2, 2*d}"""
"16,6,""{-d + 2*d^2, -2 + 2*d}"""
"16,6,""{-d + 2*d^2, -4 + 6*d}"""
"16,6,""{-d + 2*d^2, -2 + 6*d}"""
"16,6,""{-d + 2*d^2, -6 + 10*d}"""
"16,6,""{-d + 2*d^2, -4 + 10*d}"""
"16,6,""{1 - d + 2*d^2, 2*d}"""
"16,6,""{-7/3 - (2*d)/3 + 2*d^2, -15 + 12*d}"""
"16,6,""{-1/3 - (2*d)/3 + 2*d^2, -3 + 6*d}"""
"16,6,""{-2 - d/2 + 2*d^2, 4 + 4*d}"""
"16,6,""{-1 - d/2 + 2*d^2, 2 + 4*d}"""
"16,6,""{-5/3 - d/3 + 2*d^2, -6 + 6*d}"""
"16,6,""{1/3 - d/3 + 2*d^2, 6*d}"""
"16,6,""{-5/3 + d/6 + 2*d^2, -10 + 12*d}"""
"16,6,""{-7/3 + d/3 + 2*d^2, -6 + 6*d}"""
"16,6,""{-4/3 + d/3 + 2*d^2, -4 + 6*d}"""
"16,6,""{-1/3 + d/3 + 2*d^2, 2 + 6*d}"""
"16,6,""{-2 + d/2 + 2*d^2, -4 + 4*d}"""
"16,6,""{-1 + d/2 + 2*d^2, -2 + 4*d}"""
"16,6,""{-5/3 + (2*d)/3 + 2*d^2, -5 + 6*d}"""
"16,6,""{-5/3 + (2*d)/3 + 2*d^2, -9 + 12*d}"""
"16,6,""{1/3 + (2*d)/3 + 2*d^2, 1 + 6*d}"""
"16,6,""{-4/3 + (5*d)/6 + 2*d^2, -8 + 12*d}"""
"16,6,""{-5 + d + 2*d^2, 4 + 2*d}"""
"16,6,""{-3 + d + 2*d^2, -2 + 2*d}"""
"16,6,""{-2 + d + 2*d^2, -2 + 2*d}"""
"16,6,""{-1 + d + 2*d^2, 2 + 2*d}"""
"16,6,""{d + 2*d^2, 2*d}"""
"16,6,""{d + 2*d^2, 2 + 2*d}"""
"16,6,""{d + 2*d^2, 2 + 6*d}"""
"16,6,""{d + 2*d^2, 4 + 6*d}"""
"16,6,""{d + 2*d^2, 4 + 10*d}"""
"16,6,""{d + 2*d^2, 6 + 10*d}"""
"16,6,""{1 + d + 2*d^2, 2*d}"""
"16,6,""{-2/3 + (7*d)/6 + 2*d^2, -4 + 12*d}"""
"16,6,""{-1/3 + (4*d)/3 + 2*d^2, -1 + 6*d}"""
"16,6,""{-1/3 + (4*d)/3 + 2*d^2, 5 + 6*d}"""
"16,6,""{-1 + (3*d)/2 + 2*d^2, -2 + 4*d}"""
"16,6,""{(3*d)/2 + 2*d^2, 4*d}"""
"16,6,""{-2/3 + (5*d)/3 + 2*d^2, -2 + 6*d}"""
"16,6,""{1/3 + (5*d)/3 + 2*d^2, 4 + 6*d}"""
"16,6,""{-1/3 + (11*d)/6 + 2*d^2, -2 + 12*d}"""
"16,6,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"16,6,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"16,6,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"17,6,""{2*d^2, -1 + 2*d}"""
"17,6,""{2*d^2, 1 + 2*d}"""
"17,6,""{2*d^2, -1 + 4*d}"""
"17,6,""{2*d^2, 1 + 4*d}"""
"17,6,""{2*d^2, -1 + 6*d}"""
"17,6,""{2*d^2, 1 + 6*d}"""
"17,6,""{2*d^2, -1 + 8*d}"""
"17,6,""{2*d^2, 1 + 8*d}"""
"17,6,""{2*d^2, -1 + 10*d}"""
"17,6,""{2*d^2, 1 + 10*d}"""
"17,6,""{2*d^2, -1 + 12*d}"""
"17,6,""{2*d^2, 1 + 12*d}"""
"17,6,""{2*d^2, -1 + 14*d}"""
"17,6,""{2*d^2, 1 + 14*d}"""
"17,6,""{2*d^2, -1 + 16*d}"""
"17,6,""{2*d^2, 1 + 16*d}"""
"17,6,""{-3 + 2*d^2, 3 + 2*d}"""
"17,6,""{-1 + 2*d^2, -1 + 2*d}"""
"17,6,""{-1 + 2*d^2, 1 + 2*d}"""
"17,6,""{1 + 2*d^2, -1 + 2*d}"""
"17,6,""{1 + 2*d^2, 1 + 2*d}"""
"17,6,""{1/6 - (11*d)/6 + 2*d^2, -10 + 12*d}"""
"17,6,""{-2/3 - (5*d)/3 + 2*d^2, 2 + 6*d}"""
"17,6,""{1/3 - (5*d)/3 + 2*d^2, -4 + 6*d}"""
"17,6,""{-1/2 - (3*d)/2 + 2*d^2, -4 + 4*d}"""
"17,6,""{1/2 - (3*d)/2 + 2*d^2, -2 + 4*d}"""
"17,6,""{-1/3 - (4*d)/3 + 2*d^2, -5 + 6*d}"""
"17,6,""{-1/3 - (4*d)/3 + 2*d^2, 1 + 6*d}"""
"17,6,""{-1/6 - (7*d)/6 + 2*d^2, -8 + 12*d}"""
"17,6,""{-2 - d + 2*d^2, 2 + 2*d}"""
"17,6,""{-1 - d + 2*d^2, -2 + 2*d}"""
"17,6,""{-d + 2*d^2, 2*d}"""
"17,6,""{-d + 2*d^2, -2 + 2*d}"""
"17,6,""{-d + 2*d^2, -3 + 4*d}"""
"17,6,""{-d + 2*d^2, -1 + 4*d}"""
"17,6,""{-d + 2*d^2, -4 + 6*d}"""
"17,6,""{-d + 2*d^2, -2 + 6*d}"""
"17,6,""{-d + 2*d^2, -5 + 8*d}"""
"17,6,""{-d + 2*d^2, -3 + 8*d}"""
"17,6,""{-d + 2*d^2, -6 + 10*d}"""
"17,6,""{-d + 2*d^2, -4 + 10*d}"""
"17,6,""{-d + 2*d^2, -7 + 12*d}"""
"17,6,""{-d + 2*d^2, -5 + 12*d}"""
"17,6,""{-d + 2*d^2, -6 + 14*d}"""
"17,6,""{-d + 2*d^2, -7 + 16*d}"""
"17,6,""{1 - d + 2*d^2, 2*d}"""
"17,6,""{1/6 - (5*d)/6 + 2*d^2, -4 + 12*d}"""
"17,6,""{-5/3 - (2*d)/3 + 2*d^2, 5 + 6*d}"""
"17,6,""{1/3 - (2*d)/3 + 2*d^2, -1 + 6*d}"""
"17,6,""{-1/2 - d/2 + 2*d^2, -2 + 4*d}"""
"17,6,""{1/2 - d/2 + 2*d^2, 4*d}"""
"17,6,""{-7/3 - d/3 + 2*d^2, 6 + 6*d}"""
"17,6,""{-4/3 - d/3 + 2*d^2, 4 + 6*d}"""
"17,6,""{-1/3 - d/3 + 2*d^2, -2 + 6*d}"""
"17,6,""{-1/6 - d/6 + 2*d^2, -2 + 12*d}"""
"17,6,""{1/6 + d/6 + 2*d^2, 12*d}"""
"17,6,""{-5/3 + d/3 + 2*d^2, 6 + 6*d}"""
"17,6,""{1/3 + d/3 + 2*d^2, 6*d}"""
"17,6,""{-1/2 + d/2 + 2*d^2, 2 + 4*d}"""
"17,6,""{1/2 + d/2 + 2*d^2, 4*d}"""
"17,6,""{-1/3 + (2*d)/3 + 2*d^2, 3 + 6*d}"""
"17,6,""{-1/6 + (5*d)/6 + 2*d^2, 6 + 12*d}"""
"17,6,""{-5 + d + 2*d^2, 4 + 2*d}"""
"17,6,""{-3 + d + 2*d^2, -2 + 2*d}"""
"17,6,""{-2 + d + 2*d^2, -2 + 2*d}"""
"17,6,""{-1 + d + 2*d^2, 2 + 2*d}"""
"17,6,""{d + 2*d^2, 2*d}"""
"17,6,""{d + 2*d^2, 2 + 2*d}"""
"17,6,""{d + 2*d^2, 1 + 4*d}"""
"17,6,""{d + 2*d^2, 3 + 4*d}"""
"17,6,""{d + 2*d^2, 2 + 6*d}"""
"17,6,""{d + 2*d^2, 4 + 6*d}"""
"17,6,""{d + 2*d^2, 3 + 8*d}"""
"17,6,""{d + 2*d^2, 5 + 8*d}"""
"17,6,""{d + 2*d^2, 4 + 10*d}"""
"17,6,""{d + 2*d^2, 6 + 10*d}"""
"17,6,""{d + 2*d^2, 5 + 12*d}"""
"17,6,""{d + 2*d^2, 7 + 12*d}"""
"17,6,""{d + 2*d^2, 6 + 14*d}"""
"17,6,""{d + 2*d^2, 7 + 16*d}"""
"17,6,""{1 + d + 2*d^2, 2*d}"""
"17,6,""{1/6 + (7*d)/6 + 2*d^2, 6 + 12*d}"""
"17,6,""{1/3 + (4*d)/3 + 2*d^2, 3 + 6*d}"""
"17,6,""{-1/2 + (3*d)/2 + 2*d^2, 4 + 4*d}"""
"17,6,""{1/2 + (3*d)/2 + 2*d^2, 2 + 4*d}"""
"17,6,""{-1/3 + (5*d)/3 + 2*d^2, 6 + 6*d}"""
"17,6,""{-1/6 + (11*d)/6 + 2*d^2, 12 + 12*d}"""
"17,6,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"17,6,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"17,6,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"14,7,""{2*d^2, -1 + 2*d}"""
"14,7,""{2*d^2, 1 + 2*d}"""
"14,7,""{2*d^2, -1 + 10*d}"""
"14,7,""{2*d^2, 1 + 10*d}"""
"14,7,""{-3 + 2*d^2, 3 + 2*d}"""
"14,7,""{-1 + 2*d^2, -1 + 2*d}"""
"14,7,""{-1 + 2*d^2, 1 + 2*d}"""
"14,7,""{1 + 2*d^2, -1 + 2*d}"""
"14,7,""{1 + 2*d^2, 1 + 2*d}"""
"14,7,""{-2 - d + 2*d^2, 2 + 2*d}"""
"14,7,""{-1 - d + 2*d^2, -2 + 2*d}"""
"14,7,""{-d + 2*d^2, 2*d}"""
"14,7,""{-d + 2*d^2, -2 + 2*d}"""
"14,7,""{-d + 2*d^2, -4 + 10*d}"""
"14,7,""{1 - d + 2*d^2, 2*d}"""
"14,7,""{-1 + (5*d)/7 + 2*d^2, -8 + 14*d}"""
"14,7,""{-1 + (6*d)/7 + 2*d^2, -7 + 14*d}"""
"14,7,""{-5 + d + 2*d^2, 4 + 2*d}"""
"14,7,""{-3 + d + 2*d^2, -2 + 2*d}"""
"14,7,""{-2 + d + 2*d^2, -2 + 2*d}"""
"14,7,""{-1 + d + 2*d^2, 2 + 2*d}"""
"14,7,""{d + 2*d^2, 2*d}"""
"14,7,""{d + 2*d^2, 2 + 2*d}"""
"14,7,""{d + 2*d^2, 4 + 10*d}"""
"14,7,""{1 + d + 2*d^2, 2*d}"""
"14,7,""{-1 + (8*d)/7 + 2*d^2, -7 + 14*d}"""
"14,7,""{(13*d)/7 + 2*d^2, 14*d}"""
"14,7,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"14,7,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"14,7,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"15,7,""{2*d^2, -1 + 2*d}"""
"15,7,""{2*d^2, 1 + 2*d}"""
"15,7,""{2*d^2, -1 + 14*d}"""
"15,7,""{2*d^2, 1 + 14*d}"""
"15,7,""{-3 + 2*d^2, 3 + 2*d}"""
"15,7,""{-1 + 2*d^2, -1 + 2*d}"""
"15,7,""{-1 + 2*d^2, 1 + 2*d}"""
"15,7,""{1 + 2*d^2, -1 + 2*d}"""
"15,7,""{1 + 2*d^2, 1 + 2*d}"""
"15,7,""{-1/7 - (13*d)/7 + 2*d^2, -14 + 14*d}"""
"15,7,""{1/7 - (8*d)/7 + 2*d^2, -7 + 14*d}"""
"15,7,""{-2 - d + 2*d^2, 2 + 2*d}"""
"15,7,""{-1 - d + 2*d^2, -2 + 2*d}"""
"15,7,""{-d + 2*d^2, 2*d}"""
"15,7,""{-d + 2*d^2, -2 + 2*d}"""
"15,7,""{-d + 2*d^2, -8 + 14*d}"""
"15,7,""{-d + 2*d^2, -6 + 14*d}"""
"15,7,""{1 - d + 2*d^2, 2*d}"""
"15,7,""{-1/7 - (6*d)/7 + 2*d^2, -7 + 14*d}"""
"15,7,""{-13/7 - d/7 + 2*d^2, -14 + 14*d}"""
"15,7,""{1/7 - d/7 + 2*d^2, 14*d}"""
"15,7,""{-15/7 + d/7 + 2*d^2, -14 + 14*d}"""
"15,7,""{-1/7 + d/7 + 2*d^2, 2 + 14*d}"""
"15,7,""{-10/7 + (3*d)/7 + 2*d^2, -10 + 14*d}"""
"15,7,""{1/7 + (6*d)/7 + 2*d^2, 5 + 14*d}"""
"15,7,""{-5 + d + 2*d^2, 4 + 2*d}"""
"15,7,""{-3 + d + 2*d^2, -2 + 2*d}"""
"15,7,""{-2 + d + 2*d^2, -2 + 2*d}"""
"15,7,""{-1 + d + 2*d^2, 2 + 2*d}"""
"15,7,""{d + 2*d^2, 2*d}"""
"15,7,""{d + 2*d^2, 2 + 2*d}"""
"15,7,""{d + 2*d^2, 6 + 14*d}"""
"15,7,""{d + 2*d^2, 8 + 14*d}"""
"15,7,""{1 + d + 2*d^2, 2*d}"""
"15,7,""{-1/7 + (8*d)/7 + 2*d^2, 9 + 14*d}"""
"15,7,""{-3/7 + (10*d)/7 + 2*d^2, -3 + 14*d}"""
"15,7,""{-4/7 + (11*d)/7 + 2*d^2, -4 + 14*d}"""
"15,7,""{1/7 + (13*d)/7 + 2*d^2, 12 + 14*d}"""
"15,7,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"15,7,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"15,7,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"16,7,""{2*d^2, -1 + 2*d}"""
"16,7,""{2*d^2, 1 + 2*d}"""
"16,7,""{2*d^2, -1 + 6*d}"""
"16,7,""{2*d^2, 1 + 6*d}"""
"16,7,""{2*d^2, -1 + 10*d}"""
"16,7,""{2*d^2, 1 + 10*d}"""
"16,7,""{2*d^2, -1 + 14*d}"""
"16,7,""{2*d^2, 1 + 14*d}"""
"16,7,""{-3 + 2*d^2, 3 + 2*d}"""
"16,7,""{-1 + 2*d^2, -1 + 2*d}"""
"16,7,""{-1 + 2*d^2, 1 + 2*d}"""
"16,7,""{1 + 2*d^2, -1 + 2*d}"""
"16,7,""{1 + 2*d^2, 1 + 2*d}"""
"16,7,""{-2/7 - (13*d)/7 + 2*d^2, 2 + 14*d}"""
"16,7,""{1/7 - (11*d)/7 + 2*d^2, -10 + 14*d}"""
"16,7,""{-5/7 - (8*d)/7 + 2*d^2, 5 + 14*d}"""
"16,7,""{-2 - d + 2*d^2, 2 + 2*d}"""
"16,7,""{-1 - d + 2*d^2, -2 + 2*d}"""
"16,7,""{-d + 2*d^2, 2*d}"""
"16,7,""{-d + 2*d^2, -2 + 2*d}"""
"16,7,""{-d + 2*d^2, -4 + 6*d}"""
"16,7,""{-d + 2*d^2, -2 + 6*d}"""
"16,7,""{-d + 2*d^2, -6 + 10*d}"""
"16,7,""{-d + 2*d^2, -4 + 10*d}"""
"16,7,""{-d + 2*d^2, -8 + 14*d}"""
"16,7,""{-d + 2*d^2, -6 + 14*d}"""
"16,7,""{1 - d + 2*d^2, 2*d}"""
"16,7,""{-9/7 - (6*d)/7 + 2*d^2, 9 + 14*d}"""
"16,7,""{-11/7 - (5*d)/7 + 2*d^2, 10 + 14*d}"""
"16,7,""{1/7 - (4*d)/7 + 2*d^2, -3 + 14*d}"""
"16,7,""{-1/7 - (3*d)/7 + 2*d^2, -4 + 14*d}"""
"16,7,""{-12/7 - d/7 + 2*d^2, 12 + 14*d}"""
"16,7,""{-11/7 + (2*d)/7 + 2*d^2, -11 + 14*d}"""
"16,7,""{-13/7 + (3*d)/7 + 2*d^2, -12 + 14*d}"""
"16,7,""{1/7 + (3*d)/7 + 2*d^2, 2 + 14*d}"""
"16,7,""{-1/7 + (4*d)/7 + 2*d^2, 5 + 14*d}"""
"16,7,""{-10/7 + (5*d)/7 + 2*d^2, -10 + 14*d}"""
"16,7,""{-5 + d + 2*d^2, 4 + 2*d}"""
"16,7,""{-3 + d + 2*d^2, -2 + 2*d}"""
"16,7,""{-2 + d + 2*d^2, -2 + 2*d}"""
"16,7,""{-1 + d + 2*d^2, 2 + 2*d}"""
"16,7,""{d + 2*d^2, 2*d}"""
"16,7,""{d + 2*d^2, 2 + 2*d}"""
"16,7,""{d + 2*d^2, 2 + 6*d}"""
"16,7,""{d + 2*d^2, 4 + 6*d}"""
"16,7,""{d + 2*d^2, 4 + 10*d}"""
"16,7,""{d + 2*d^2, 6 + 10*d}"""
"16,7,""{d + 2*d^2, 6 + 14*d}"""
"16,7,""{1 + d + 2*d^2, 2*d}"""
"16,7,""{-4/7 + (9*d)/7 + 2*d^2, -4 + 14*d}"""
"16,7,""{1/7 + (10*d)/7 + 2*d^2, 9 + 14*d}"""
"16,7,""{-1/7 + (11*d)/7 + 2*d^2, 12 + 14*d}"""
"16,7,""{-3/7 + (12*d)/7 + 2*d^2, -3 + 14*d}"""
"16,7,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"16,7,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"16,7,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"16,7,""{345/7 - (38*d)/7 + (15*d^2)/7, -1 + 2*d}"""
"17,7,""{2*d^2, -1 + 2*d}"""
"17,7,""{2*d^2, 1 + 2*d}"""
"17,7,""{2*d^2, -1 + 14*d}"""
"17,7,""{2*d^2, 1 + 14*d}"""
"17,7,""{-405/7 + (47*d)/7 + (13*d^2)/7, -2 + 2*d}"""
"17,7,""{-3 + 2*d^2, 3 + 2*d}"""
"17,7,""{-1 + 2*d^2, -1 + 2*d}"""
"17,7,""{-1 + 2*d^2, 1 + 2*d}"""
"17,7,""{1 + 2*d^2, -1 + 2*d}"""
"17,7,""{1 + 2*d^2, 1 + 2*d}"""
"17,7,""{1/7 - (12*d)/7 + 2*d^2, -11 + 14*d}"""
"17,7,""{-2/7 - (11*d)/7 + 2*d^2, 2 + 14*d}"""
"17,7,""{-5/7 - (10*d)/7 + 2*d^2, 5 + 14*d}"""
"17,7,""{-1/7 - (9*d)/7 + 2*d^2, -10 + 14*d}"""
"17,7,""{-2 - d + 2*d^2, 2 + 2*d}"""
"17,7,""{-1 - d + 2*d^2, -2 + 2*d}"""
"17,7,""{-d + 2*d^2, 2*d}"""
"17,7,""{-d + 2*d^2, -2 + 2*d}"""
"17,7,""{-d + 2*d^2, -6 + 14*d}"""
"17,7,""{1 - d + 2*d^2, 2*d}"""
"17,7,""{1/7 - (5*d)/7 + 2*d^2, -4 + 14*d}"""
"17,7,""{-9/7 - (4*d)/7 + 2*d^2, 9 + 14*d}"""
"17,7,""{-12/7 - (3*d)/7 + 2*d^2, 12 + 14*d}"""
"17,7,""{-1/7 - (2*d)/7 + 2*d^2, -3 + 14*d}"""
"17,7,""{-11/7 - d/7 + 2*d^2, 12 + 14*d}"""
"17,7,""{-17/7 + d/7 + 2*d^2, 16 + 14*d}"""
"17,7,""{-13/7 + (2*d)/7 + 2*d^2, -13 + 14*d}"""
"17,7,""{1/7 + (2*d)/7 + 2*d^2, 1 + 14*d}"""
"17,7,""{-9/7 + (3*d)/7 + 2*d^2, -10 + 14*d}"""
"17,7,""{-8/7 + (5*d)/7 + 2*d^2, -8 + 14*d}"""
"17,7,""{-5 + d + 2*d^2, 4 + 2*d}"""
"17,7,""{-3 + d + 2*d^2, -2 + 2*d}"""
"17,7,""{-2 + d + 2*d^2, -2 + 2*d}"""
"17,7,""{-1 + d + 2*d^2, 2 + 2*d}"""
"17,7,""{d + 2*d^2, 2*d}"""
"17,7,""{d + 2*d^2, 2 + 2*d}"""
"17,7,""{d + 2*d^2, 6 + 14*d}"""
"17,7,""{d + 2*d^2, 8 + 14*d}"""
"17,7,""{1 + d + 2*d^2, 2*d}"""
"17,7,""{1/7 + (9*d)/7 + 2*d^2, 8 + 14*d}"""
"17,7,""{-1/7 + (12*d)/7 + 2*d^2, -1 + 14*d}"""
"17,7,""{-1/7 + (12*d)/7 + 2*d^2, 13 + 14*d}"""
"17,7,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"17,7,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"17,7,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"17,7,""{384/7 - (47*d)/7 + (15*d^2)/7, -2 + 2*d}"""
"18,7,""{2*d^2, -1 + 2*d}"""
"18,7,""{2*d^2, 1 + 2*d}"""
"18,7,""{2*d^2, -1 + 14*d}"""
"18,7,""{2*d^2, 1 + 14*d}"""
"18,7,""{-3 + 2*d^2, 3 + 2*d}"""
"18,7,""{-1 + 2*d^2, -1 + 2*d}"""
"18,7,""{-1 + 2*d^2, 1 + 2*d}"""
"18,7,""{1 + 2*d^2, -1 + 2*d}"""
"18,7,""{1 + 2*d^2, 1 + 2*d}"""
"18,7,""{-1/7 - (12*d)/7 + 2*d^2, -13 + 14*d}"""
"18,7,""{-1/7 - (12*d)/7 + 2*d^2, 1 + 14*d}"""
"18,7,""{1/7 - (9*d)/7 + 2*d^2, -8 + 14*d}"""
"18,7,""{-2 - d + 2*d^2, 2 + 2*d}"""
"18,7,""{-1 - d + 2*d^2, -2 + 2*d}"""
"18,7,""{-d + 2*d^2, 2*d}"""
"18,7,""{-d + 2*d^2, -2 + 2*d}"""
"18,7,""{-d + 2*d^2, -8 + 14*d}"""
"18,7,""{-d + 2*d^2, -6 + 14*d}"""
"18,7,""{1 - d + 2*d^2, 2*d}"""
"18,7,""{-8/7 - (5*d)/7 + 2*d^2, 8 + 14*d}"""
"18,7,""{-9/7 - (3*d)/7 + 2*d^2, 10 + 14*d}"""
"18,7,""{-13/7 - (2*d)/7 + 2*d^2, 13 + 14*d}"""
"18,7,""{1/7 - (2*d)/7 + 2*d^2, -1 + 14*d}"""
"18,7,""{-17/7 - d/7 + 2*d^2, -16 + 14*d}"""
"18,7,""{-11/7 + d/7 + 2*d^2, -12 + 14*d}"""
"18,7,""{-1/7 + (2*d)/7 + 2*d^2, 3 + 14*d}"""
"18,7,""{-12/7 + (3*d)/7 + 2*d^2, -12 + 14*d}"""
"18,7,""{-9/7 + (4*d)/7 + 2*d^2, -9 + 14*d}"""
"18,7,""{1/7 + (5*d)/7 + 2*d^2, 4 + 14*d}"""
"18,7,""{-5 + d + 2*d^2, 4 + 2*d}"""
"18,7,""{-3 + d + 2*d^2, -2 + 2*d}"""
"18,7,""{-2 + d + 2*d^2, -2 + 2*d}"""
"18,7,""{-1 + d + 2*d^2, 2 + 2*d}"""
"18,7,""{d + 2*d^2, 2*d}"""
"18,7,""{d + 2*d^2, 2 + 2*d}"""
"18,7,""{d + 2*d^2, 6 + 14*d}"""
"18,7,""{d + 2*d^2, 8 + 14*d}"""
