"dm, P, ""N(d), s(d)"""
"18,4,""{5 - d + 2*d^2, 3/2 + d/4 + d^2/2}"""
"18,4,""{7 - d + 2*d^2, 5/2 - (3*d)/4 + d^2/2}"""
"18,4,""{-11 + d + 2*d^2, -9/2 - d/4 + d^2/2}"""
"18,4,""{-9 + d + 2*d^2, -7/2 + (3*d)/4 + d^2/2}"""
"18,4,""{-7 + d + 2*d^2, -6 - d/2 + d^2}"""
"18,4,""{-5 + d + 2*d^2, -5/2 + (3*d)/4 + d^2/2}"""
"18,4,""{-5 + d + 2*d^2, -1 - d/2 + d^2}"""
"18,4,""{-3 + d + 2*d^2, -1/2*d + d^2}"""
"18,4,""{d + 2*d^2, -5 - (15*d)/2 + d^2}"""
"18,4,""{d + 2*d^2, -3 - (7*d)/2 + d^2}"""
"18,4,""{d + 2*d^2, -1 - (7*d)/2 + d^2}"""
"18,4,""{1 + d + 2*d^2, -1/2*d + d^2}"""
"18,4,""{3 + d + 2*d^2, 3/2 + (3*d)/4 + d^2/2}"""
"18,4,""{-4 + 2*d + 2*d^2, -2 + d + d^2/2}"""
"18,4,""{-2 + 2*d + 2*d^2, d^2}"""
"19,4,""{2*d^2, -1 + 16*d}"""
"19,4,""{2*d^2, 1 + 16*d}"""
"19,4,""{2*d^2, -1 + (55*d)/2 - d^2/2}"""
"19,4,""{2*d^2, 1 + (55*d)/2 - d^2/2}"""
"19,4,""{2*d^2, -1 + d/2 + d^2/2}"""
"19,4,""{2*d^2, 1 + d/2 + d^2/2}"""
"19,4,""{2*d^2, -1 + (5*d)/2 + d^2/2}"""
"19,4,""{2*d^2, 1 + (5*d)/2 + d^2/2}"""
"19,4,""{2*d^2, -1 + (13*d)/2 + d^2/2}"""
"19,4,""{2*d^2, 1 + (13*d)/2 + d^2/2}"""
"19,4,""{2*d^2, -1 + (17*d)/2 + d^2/2}"""
"19,4,""{2*d^2, 1 + (17*d)/2 + d^2/2}"""
"19,4,""{2*d^2, -1 - 5*d + d^2}"""
"19,4,""{2*d^2, 1 - 5*d + d^2}"""
"19,4,""{2*d^2, 1 - 2*d + d^2}"""
"19,4,""{2*d^2, -1 - d + d^2}"""
"19,4,""{2*d^2, 1 - d + d^2}"""
"19,4,""{2*d^2, -1 - (29*d)/2 + (3*d^2)/2}"""
"19,4,""{2*d^2, 1 - (29*d)/2 + (3*d^2)/2}"""
"19,4,""{-4 + 2*d^2, -2 + d/2 + d^2/2}"""
"19,4,""{-4 + 2*d^2, 1 - 2*d + d^2}"""
"19,4,""{-2 + 2*d^2, -d + d^2}"""
"19,4,""{2 + 2*d^2, 2 - d + d^2}"""
"19,4,""{4 + 2*d^2, d/2 + d^2/2}"""
"19,4,""{2 - 2*d + 2*d^2, 1 - 2*d + d^2}"""
"19,4,""{4 - 2*d + 2*d^2, 3/2 + d^2/2}"""
"19,4,""{-4 - d + 2*d^2, -9/4 + d/4 + d^2/2}"""
"19,4,""{-2 - d + 2*d^2, 1/2 - (3*d)/2 + d^2}"""
"19,4,""{-d + 2*d^2, -9 + 16*d}"""
"19,4,""{-d + 2*d^2, -7 + 16*d}"""
"19,4,""{-d + 2*d^2, -51/4 + (111*d)/4 - d^2/2}"""
"19,4,""{-d + 2*d^2, -5/4 + d/4 + d^2/2}"""
"19,4,""{-d + 2*d^2, 3/4 + d/4 + d^2/2}"""
"19,4,""{-d + 2*d^2, -9/4 + (9*d)/4 + d^2/2}"""
"19,4,""{-d + 2*d^2, -1/4 + (9*d)/4 + d^2/2}"""
"19,4,""{-d + 2*d^2, -17/4 + (25*d)/4 + d^2/2}"""
"19,4,""{-d + 2*d^2, -9/4 + (25*d)/4 + d^2/2}"""
"19,4,""{-d + 2*d^2, -13/4 + (33*d)/4 + d^2/2}"""
"19,4,""{-d + 2*d^2, 3/2 - (11*d)/2 + d^2}"""
"19,4,""{-d + 2*d^2, 7/2 - (11*d)/2 + d^2}"""
"19,4,""{-d + 2*d^2, -1/2 - (3*d)/2 + d^2}"""
"19,4,""{-d + 2*d^2, 3/2 - (3*d)/2 + d^2}"""
"19,4,""{-d + 2*d^2, 25/4 - (61*d)/4 + (3*d^2)/2}"""
"19,4,""{-d + 2*d^2, 33/4 - (61*d)/4 + (3*d^2)/2}"""
"19,4,""{2 - d + 2*d^2, 1/2 - (3*d)/2 + d^2}"""
"19,4,""{4 - d + 2*d^2, 7/4 + d/4 + d^2/2}"""
"19,4,""{-5/2 + d/2 + 2*d^2, 5/4 - (7*d)/4 + d^2}"""
"19,4,""{-1/2 + d/2 + 2*d^2, 1/4 - (7*d)/4 + d^2}"""
"19,4,""{-4 + d + 2*d^2, 1/4 + (3*d)/4 + d^2/2}"""
"19,4,""{-2 + d + 2*d^2, -5/2 - d/2 + d^2}"""
"19,4,""{d + 2*d^2, 7 + 16*d}"""
"19,4,""{d + 2*d^2, 9 + 16*d}"""
"19,4,""{d + 2*d^2, 51/4 + (109*d)/4 - d^2/2}"""
"19,4,""{d + 2*d^2, -3/4 + (3*d)/4 + d^2/2}"""
"19,4,""{d + 2*d^2, 5/4 + (3*d)/4 + d^2/2}"""
"19,4,""{d + 2*d^2, 1/4 + (11*d)/4 + d^2/2}"""
"19,4,""{d + 2*d^2, 9/4 + (11*d)/4 + d^2/2}"""
"19,4,""{d + 2*d^2, 9/4 + (27*d)/4 + d^2/2}"""
"19,4,""{d + 2*d^2, 17/4 + (27*d)/4 + d^2/2}"""
"19,4,""{d + 2*d^2, 13/4 + (35*d)/4 + d^2/2}"""
"19,4,""{d + 2*d^2, -7/2 - (9*d)/2 + d^2}"""
"19,4,""{d + 2*d^2, -3/2 - (9*d)/2 + d^2}"""
"19,4,""{d + 2*d^2, -3/2 - d/2 + d^2}"""
"19,4,""{d + 2*d^2, 1/2 - d/2 + d^2}"""
"19,4,""{d + 2*d^2, -33/4 - (55*d)/4 + (3*d^2)/2}"""
"19,4,""{d + 2*d^2, -25/4 - (55*d)/4 + (3*d^2)/2}"""
"19,4,""{2 + d + 2*d^2, 3/2 - d/2 + d^2}"""
"19,4,""{4 + d + 2*d^2, 1/4 + (3*d)/4 + d^2/2}"""
"19,4,""{-3/2 + (3*d)/2 + 2*d^2, 3/4 - (5*d)/4 + d^2}"""
"19,4,""{1/2 + (3*d)/2 + 2*d^2, -1/4 - (5*d)/4 + d^2}"""
"19,4,""{-4 + 2*d + 2*d^2, 1/2 + d + d^2/2}"""
"19,4,""{-2 + 2*d + 2*d^2, -3 + d^2}"""
"10,5,""{-7 + 2*d^2, (2*d)/5 + (2*d^2)/5}"""
"10,5,""{3 + 2*d^2, (-2*d)/5 + (2*d^2)/5}"""
"10,5,""{5 - 2*d + 2*d^2, (2*d^2)/5}"""
"10,5,""{-6 - d + 2*d^2, d/5 + (2*d^2)/5}"""
"10,5,""{4 - d + 2*d^2, d/5 + (2*d^2)/5}"""
"10,5,""{7 - d + 2*d^2, 1 - (3*d)/5 + (2*d^2)/5}"""
"10,5,""{9 - d + 2*d^2, 1 + d/5 + (2*d^2)/5}"""
