N, s, D, AD
580,162,17,11.3627
580,274,17,11.3627
581,204,17,11.3724
581,225,17,11.3724
582,108,17,11.3821
582,138,17,11.3821
583,161,17,11.3918
583,239,17,11.3918
584,102,17,11.4014
584,228,17,11.4014
585,171,17,11.411
586,70,17,11.4205
586,182,17,11.4205
587,68,17,11.43
587,164,17,11.43
588,174,17,11.4395
589,105,17,11.449
589,230,17,11.449
590,38,17,11.4584
590,244,17,11.4584
591,138,17,11.4678
592,32,17,11.4772
592,210,17,11.4772
593,32,17,11.4865
593,278,17,11.4865
594,36,17,11.4958
595,34,17,11.5051
595,36,17,11.5051
595,69,17,11.5051
595,71,17,11.5051
595,104,17,11.5051
595,106,17,11.5051
595,139,17,11.5051
595,141,17,11.5051
595,174,17,11.5051
595,176,17,11.5051
595,209,17,11.5051
595,211,17,11.5051
595,244,17,11.5051
595,246,17,11.5051
595,279,17,11.5051
595,281,17,11.5051
596,34,17,11.5143
597,282,17,11.5235
598,210,17,11.5327
599,142,17,11.5418
599,232,17,11.5418
600,246,17,11.5509
601,105,17,11.56
601,166,17,11.56
602,176,17,11.5691
603,72,17,11.5781
604,70,17,11.5871
605,169,17,11.596
605,179,17,11.596
606,108,17,11.605
607,237,17,11.6139
607,251,17,11.6139
608,142,17,11.6227
609,216,17,11.6316
610,286,17,11.6404
611,33,17,11.6492
611,37,17,11.6492
613,35,17,11.6667
614,290,18,11.677
615,216,18,11.6873
616,146,18,11.6976
617,194,18,11.7078
617,239,18,11.7078
617,253,18,11.7078
618,108,18,11.718
619,171,18,11.7282
619,181,18,11.7282
620,74,18,11.7383
621,72,18,11.7484
622,184,18,11.7585
623,111,18,11.7685
623,174,18,11.7685
624,258,18,11.7785
625,146,18,11.7885
625,244,18,11.7885
626,222,18,11.7984
627,294,18,11.8083
628,38,18,11.8182
629,34,18,11.828
630,34,18,11.8378
630,36,18,11.8378
630,174,18,11.8378
630,176,18,11.8378
630,244,18,11.8378
630,246,18,11.8378
631,36,18,11.8476
631,298,18,11.8476
632,222,18,11.8574
633,150,18,11.8671
633,199,18,11.8671
633,299,18,11.8671
634,260,18,11.8768
635,111,18,11.8864
635,168,18,11.8864
635,223,18,11.8864
635,246,18,11.8864
636,186,18,11.8961
637,76,18,11.9057
637,135,18,11.9057
637,151,18,11.9057
637,176,18,11.9057
638,74,18,11.9152
639,100,18,11.9248
639,189,18,11.9248
639,262,18,11.9248
640,114,18,11.9343
641,112,18,11.9438
641,179,18,11.9438
641,265,18,11.9438
641,269,18,11.9438
642,150,18,11.9532
643,188,18,11.9626
643,228,18,11.9626
643,236,18,11.9626
643,251,18,11.9626
644,302,18,11.972
645,39,18,11.9814
645,67,18,11.9814
645,77,18,11.9814
647,35,18,12.
647,37,18,12.
647,69,18,12.
647,75,18,12.
648,35,18,12.0093
648,37,18,12.0093
648,179,18,12.0093
648,181,18,12.0093
648,251,18,12.0093
648,253,18,12.0093
648,306,18,12.0093
649,35,18,12.0185
649,37,18,12.0185
649,192,18,12.0185
649,204,18,12.0185
649,228,18,12.0185
649,240,18,12.0185
650,172,18,12.0277
651,116,18,12.0369
651,138,18,12.0369
651,275,18,12.0369
652,102,18,12.0461
653,104,18,12.0552
653,255,18,12.0552
653,270,18,12.0552
653,274,18,12.0552
654,240,18,12.0643
655,68,18,12.0734
655,137,18,12.0734
655,153,18,12.0734
655,183,18,12.0734
656,70,18,12.0824
657,172,18,12.0915
657,233,18,12.0915
657,243,18,12.0915
658,278,18,12.1005
659,105,18,12.1094
659,182,18,12.1094
659,209,18,12.1094
659,309,18,12.1094
660,138,18,12.1184
661,40,18,12.1273
661,173,18,12.1273
661,256,18,12.1273
661,314,18,12.1273
662,210,18,12.1362
663,34,18,12.145
663,315,18,12.145
664,34,18,12.1538
665,38,18,12.1627
666,36,18,12.1714
666,38,18,12.1714
666,184,18,12.1714
666,186,18,12.1714
666,258,18,12.1714
666,260,18,12.1714
667,36,18,12.1802
667,315,18,12.1802
668,210,18,12.1889
669,177,18,12.1976
670,142,18,12.2063
671,105,18,12.2149
671,262,18,12.2149
672,282,18,12.2235
673,188,18,12.2321
673,247,18,12.2321
